product_name,volume,past_sales,storage_days,profit
Product_1,52,369,11,387.29
Product_2,93,787,58,327.13
Product_3,15,492,23,104.27
Product_4,72,364,26,330.34
Product_5,61,926,34,529.14
Product_6,21,790,46,147.72
Product_7,83,426,34,298.04
Product_8,87,338,29,218.97
Product_9,75,486,4,175.58
Product_10,75,711,17,372.85
Product_11,88,326,35,363.16
Product_12,24,759,13,172.05
Product_13,3,631,41,17.98
Product_14,22,552,39,90.82
Product_15,53,673,15,169.28
Product_16,2,565,55,6.04
Product_17,88,399,29,784.72
Product_18,30,892,29,118.43
Product_19,38,495,11,274.12
Product_20,2,879,52,16.97
Product_21,64,399,32,442.41
Product_22,60,656,2,532.59
Product_23,21,713,47,107.92
Product_24,33,872,14,318.44
Product_25,76,186,20,232.95
Product_26,58,808,22,163.4
Product_27,22,948,11,159.93
Product_28,89,292,27,849.3
Product_29,49,592,3,415.08
Product_30,91,89,17,237.63
Product_31,59,278,44,249.86
Product_32,42,597,56,396.59
Product_33,92,969,28,370.25
Product_34,60,272,29,494.96
Product_35,80,55,21,688.08
Product_36,15,371,47,89.45
Product_37,62,517,16,315.63
Product_38,62,781,37,347.26
Product_39,47,124,59,179.34
Product_40,62,53,20,565.14
Product_41,51,896,6,285.85
Product_42,55,695,19,498.28
Product_43,64,167,57,182.12
Product_44,3,930,5,29.72
Product_45,51,655,3,282.86
Product_46,7,553,59,16.68
Product_47,21,996,1,48.39
Product_48,73,623,58,581.79
Product_49,39,490,38,283.62
Product_50,18,243,15,151.51
Product_51,4,896,34,11.37
Product_52,89,764,35,203.33
Product_53,60,441,49,364.12
Product_54,14,75,25,71.41
Product_55,9,484,24,51.26
Product_56,90,222,12,893.94
Product_57,53,349,18,517.6
Product_58,2,694,15,19.08
Product_59,84,375,44,694.74
Product_60,92,459,16,445.16
Product_61,60,167,27,317.82
Product_62,71,885,8,454.18
Product_63,44,836,46,380.35
Product_64,8,773,25,20.4
Product_65,47,274,17,253.54
Product_66,35,581,29,93.13
Product_67,78,162,53,477.15
Product_68,81,189,8,744.49
Product_69,36,608,15,297.36
Product_70,50,50,27,191.14
Product_71,4,139,46,39.23
Product_72,2,703,50,14.68
Product_73,6,369,52,12.5
Product_74,54,599,7,218.34
Product_75,4,854,3,16.34
Product_76,54,943,29,137.92
Product_77,93,188,44,900.11
Product_78,63,560,53,367.04
Product_79,18,917,24,165.0
Product_80,90,894,58,412.0
Product_81,44,308,3,132.08
Product_82,34,722,20,197.02
Product_83,74,951,46,215.46
Product_84,62,739,15,365.06
Product_85,14,59,25,131.07
Product_86,95,310,30,585.78
Product_87,48,968,14,332.74
Product_88,15,699,7,48.8
Product_89,72,221,17,169.19
Product_90,78,947,44,225.14
Product_91,87,62,20,590.58
Product_92,62,217,36,171.13
Product_93,40,691,9,200.32
Product_94,85,645,38,544.06
Product_95,80,370,48,408.74
Product_96,82,368,57,271.38
Product_97,53,662,22,222.09
Product_98,24,378,54,226.24
Product_99,26,834,53,192.6
Product_100,89,826,53,531.19
Product_101,60,960,2,126.1
Product_102,41,969,24,407.51
Product_103,29,599,8,213.78
Product_104,15,468,11,68.03
Product_105,45,655,13,406.54
Product_106,65,144,17,264.38
Product_107,89,866,8,565.34
Product_108,71,630,21,503.29
Product_109,9,367,18,33.92
Product_110,88,285,30,864.79
Product_111,1,995,18,7.99
Product_112,8,383,46,51.7
Product_113,88,934,47,303.14
Product_114,63,425,31,153.14
Product_115,11,508,38,50.17
Product_116,81,186,32,650.07
Product_117,8,979,11,33.24
Product_118,35,637,45,221.08
Product_119,35,596,25,273.83
Product_120,33,562,33,94.5
Product_121,5,345,38,37.41
Product_122,41,369,41,112.13
Product_123,28,967,8,272.19
Product_124,7,621,11,41.35
Product_125,73,881,22,233.99
Product_126,72,398,51,341.21
Product_127,12,889,24,63.69
Product_128,34,828,41,274.23
Product_129,33,922,17,262.26
Product_130,48,278,12,330.99
Product_131,23,319,57,65.49
Product_132,62,877,46,199.18
Product_133,88,847,32,242.0
Product_134,37,340,15,244.84
Product_135,99,774,16,892.69
Product_136,44,214,54,240.7
Product_137,86,54,22,282.66
Product_138,91,900,28,588.25
Product_139,35,428,20,297.29
Product_140,65,127,33,515.69
Product_141,99,459,10,896.11
Product_142,47,623,40,198.49
Product_143,78,181,32,277.03
Product_144,3,650,50,27.12
Product_145,1,798,33,7.26
Product_146,5,91,2,22.44
Product_147,90,138,33,714.49
Product_148,14,451,33,119.29
Product_149,27,345,41,186.84
Product_150,9,889,13,67.53
Product_151,79,344,30,395.16
Product_152,15,665,33,94.64
Product_153,90,575,13,557.39
Product_154,42,849,52,368.94
Product_155,77,740,26,671.42
Product_156,51,686,22,441.73
Product_157,63,471,39,131.56
Product_158,96,914,2,767.65
Product_159,52,72,38,419.61
Product_160,96,624,39,712.99
Product_161,4,192,26,32.2
